"parcel_id","state","district","land_area","land_type","land_use","number_of_owners","ownership_complexity","previous_dispute","previous_objections","land_value","estimated_compensation","environmental_risk","road_accessibility","distance_to_road","project_type","stakeholder_count","land_use_conflict","documentation_completeness","historical_acquisition_duration","acquisition_risk","acquisition_duration"
"SYN-LA-00513","Jharkhand","Bhojpur","10.99","Forest buffer","Single-crop","","4","0","0","2.37","3.1","4","4","3.51","Public utility","15","5","5","9.43","1","12.55"
"SYN-LA-00514","Uttar Pradesh","Muzaffarpur","24.58","Agricultural","Multi-crop","7","","0","0","18.73","26.14","6","7","5.16","Rail","16","3","4","8.5","1","11.17"
"SYN-LA-00515","Jharkhand","Bhojpur","5.11","Commercial","Multi-crop","1","3","0","","0.99","1.29","3","9","8.1","Road","8","4","10","5.83","0","6.62"
"SYN-LA-00516","Bihar","Bhagalpur","9.53","Commercial","","4","","0","0","2.21","2.41","4","8","2.93","Rail","6","3","8","9.96","1","11.08"
"","Uttar Pradesh","Muzaffarpur","10.6","Agricultural","Single-crop","1","1","0","","4.44","4.93","2","3","7.73","Public utility","6","1","7","7.34","0","8.52"
"SYN-LA-00518","Jharkhand","Patna","1.94","","Multi-crop","2","4","0","0","0.54","0.57","3","5","8.97","Industrial corridor","20","3","5","11.18","1","14.35"
"SYN-LA-00519","Uttar Pradesh","Vaishali","19.65","Industrial","Mixed use","7","8","1","4","15.3","16.95","4","8","0.48","Water management","","","6","11.98","2","19.34"
"SYN-LA-00520","Bihar","","21.01","Commercial","","1","3","1","2","6.03","8.2","3","4","3.24","Water management","4","2","6","12.97","2","17.53"
"SYN-LA-00521","Jharkhand","Bhojpur","17.06","Forest buffer","Fallow","1","3","0","0","12.29","14.89","","","6.78","Road","9","1","5","4.29","0","6"
"SYN-LA-00522","","Nalanda","16.28","Forest buffer","Commercial","8","8","1","","12.84","14.02","8","3","10.5","Industrial corridor","2","3","5","16.23","3","23.01"
"SYN-LA-00523","Bihar","Vaishali","14.21","Forest buffer","Fallow","5","4","0","0","11.83","16.03","","8","0.26","Rail","10","5","7","7.79","1","9.6"
"SYN-LA-00524","Bihar","Nalanda","5.25","Forest buffer","Multi-crop","6","6","0","1","3.44","3.56","7","1","1.29","Industrial corridor","2","3","7","13.9","1","17.02"
"SYN-LA-00525","Bihar","Vaishali","18.87","Residential","","3","4","1","2","8.23","10.68","3","4","1.96","Water management","13","1","6","14.28","2","18.57"
"SYN-LA-00526","Bihar","Vaishali","23.87","Agricultural","Multi-crop","5","","0","0","16.42","17.8","5","10","3.65","Water management","5","1","8","9.7","0","11.66"
"SYN-LA-00527","Bihar","Saran","5.77","Agricultural","Fallow","3","3","0","","4.18","5.32","2","5","9.16","Rail","9","1","7","6.52","1","8.14"
"SYN-LA-00528","","Muzaffarpur","7.94","Forest buffer","Mixed use","6","7","0","0","6.18","7.72","5","6","10.82","Public utility","13","3","4","13.95","2","16.17"
"SYN-LA-00529","Jharkhand","Begusarai","10.55","Residential","Fallow","5","7","1","3","3.13","3.7","2","8","5.75","Road","11","2","9","14.94","2","19.72"
"SYN-LA-00530","Uttar Pradesh","Begusarai","16.73","Commercial","Commercial","4","6","0","0","13.82","15.28","3","6","11.37","Rail","3","3","10","6.57","0","7.89"
"SYN-LA-00531","Jharkhand","Bhagalpur","9.65","Industrial","Single-crop","4","3","0","1","7","9.43","5","6","11.53","Water management","12","1","7","12.31","1","13.48"
"SYN-LA-00532","Bihar","Ranchi","4.81","Forest buffer","Commercial","5","5","0","0","1.81","2.09","7","3","","Road","15","2","7","12.53","1","12.92"
"SYN-LA-00533","Uttar Pradesh","Muzaffarpur","2.96","Forest buffer","Residential","2","2","0","1","2.07","2.48","10","2","6.06","Water management","7","","6","5.29","1","9.09"
"SYN-LA-00534","Bihar","Vaishali","7.55","Forest buffer","Commercial","8","9","0","0","","4.21","7","8","2.06","Rail","8","7","7","11.66","2","13.31"
"SYN-LA-00535","Jharkhand","Nalanda","23.4","Agricultural","Multi-crop","2","1","0","0","17.85","24.08","4","7","11.3","Water management","7","5","7","10.48","1","12.84"
"","Bihar","Ranchi","3.13","Commercial","Fallow","7","","0","0","2.4","3.19","2","5","1.71","Road","16","5","7","12","1","15.38"
"SYN-LA-00537","Bihar","Gaya","19.48","","Single-crop","2","2","1","3","13.88","18.86","4","4","5.41","Public utility","3","0","5","14.08","2","20.48"
"SYN-LA-00538","","Muzaffarpur","3.1","Agricultural","Single-crop","1","1","1","2","1.7","2.14","7","3","3.47","Public utility","5","3","6","9.06","2","13.17"
"","Bihar","Patna","17.45","Industrial","Multi-crop","3","3","0","0","13.12","14.33","5","10","1.73","Water management","3","0","8","10.14","0","11.58"
"SYN-LA-00540","","Bhojpur","18.44","Residential","Mixed use","5","7","0","0","3.87","4.93","8","5","11.87","Industrial corridor","14","4","8","5.89","1","8.78"
"SYN-LA-00541","Bihar","Begusarai","","Commercial","Mixed use","8","9","0","1","8.27","","6","6","7.68","Public utility","20","4","6","10.59","2","13.39"
"SYN-LA-00542","Jharkhand","Dhanbad","13.57","","Fallow","6","5","0","0","11.43","12.89","6","3","0.71","Road","5","0","8","12.78","1","12.81"
"SYN-LA-00543","Jharkhand","Bhagalpur","2.14","Agricultural","Residential","8","8","0","0","1.18","","","6","0.39","Public utility","19","3","6","","1","11.76"
"SYN-LA-00544","Jharkhand","Purnia","1.19","","Mixed use","5","6","1","1","0.77","0.93","0","7","5.96","Industrial corridor","11","1","7","9.45","1","12.21"
"SYN-LA-00545","Bihar","Vaishali","0.81","Residential","Commercial","4","3","0","0","0.69","0.8","2","7","8.2","Road","5","5","7","10.55","1","11.67"
"SYN-LA-00546","Bihar","Nalanda","5.86","Forest buffer","Commercial","7","8","0","0","4.99","5.83","8","6","0.45","","3","2","4","12.35","1","14.38"
"SYN-LA-00547","Bihar","Bhojpur","5.6","Residential","Fallow","2","3","0","0","4.8","5.59","1","9","8.28","Public utility","5","1","9","7.77","0","9.88"
"SYN-LA-00548","Uttar Pradesh","Nalanda","","Commercial","Fallow","7","9","1","1","7.87","","2","4","3.42","Industrial corridor","9","2","6","11.52","2","14.4"
"SYN-LA-00549","Uttar Pradesh","Purnia","17","Agricultural","Residential","6","6","0","1","11.94","13.49","2","7","9.8","Road","10","","5","9.59","2","14.92"
"SYN-LA-00550","Bihar","Patna","5.32","Residential","Mixed use","1","0","0","0","1.61","1.89","4","6","10.36","Industrial corridor","11","5","8","9.43","1","12.74"
"SYN-LA-00551","Uttar Pradesh","Begusarai","19.83","Industrial","Single-crop","3","5","0","","5.17","6.12","8","7","7.43","Industrial corridor","11","1","9","9.7","1","9.75"
"SYN-LA-00552","Bihar","Saran","2.66","Agricultural","Commercial","5","5","0","1","0.82","0.98","1","4","5.8","Rail","20","5","9","11.05","1","13.47"
"SYN-LA-00553","Bihar","Ranchi","24.62","Commercial","","3","3","0","0","17.78","22.67","3","10","6.51","Industrial corridor","16","2","6","7","1","8.54"
"SYN-LA-00554","Uttar Pradesh","Purnia","24.36","Residential","Residential","2","2","0","1","21.2","25.04","3","10","9.43","Rail","9","2","8","5.23","0","6.61"
"SYN-LA-00555","Uttar Pradesh","Gaya","3.56","Forest buffer","Commercial","8","9","0","0","2.14","2.29","8","4","6.18","Rail","20","4","5","9.56","2","11.96"
"SYN-LA-00556","Bihar","Gaya","7.91","Agricultural","Multi-crop","2","3","0","1","6.42","6.81","4","4","9.05","Public utility","8","1","7","12.63","1","13.88"
"SYN-LA-00557","Uttar Pradesh","Begusarai","15.01","Forest buffer","Commercial","8","10","1","1","8.38","10.95","5","6","11.67","Public utility","13","","4","9.01","3","15.32"
"SYN-LA-00558","Uttar Pradesh","Dhanbad","10.2","Forest buffer","Residential","1","1","1","3","8","10.58","10","8","0.46","Road","13","7","6","11.04","2","17.75"
"SYN-LA-00559","Bihar","Gaya","11.44","Forest buffer","Fallow","5","7","1","0","9.21","10.86","3","5","0.24","Rail","15","5","6","","2","16.63"
"SYN-LA-00560","Jharkhand","Bhagalpur","6.23","Forest buffer","Residential","2","4","0","1","4.16","4.76","5","5","1.77","Rail","10","0","10","6.29","1","6.83"
"SYN-LA-00561","Jharkhand","Vaishali","24.24","Forest buffer","Residential","8","9","1","4","13.84","18.34","4","1","5.99","Water management","3","4","5","16.76","3","23.87"
"SYN-LA-00562","Jharkhand","Vaishali","10.36","Industrial","Mixed use","8","9","0","0","4.64","5.79","7","5","","Rail","3","4","5","13.44","2","16.48"
"","Jharkhand","Dhanbad","17.64","Agricultural","Multi-crop","7","8","0","0","14.16","18.91","2","9","8.76","Water management","15","1","7","11.82","1","13.09"
"SYN-LA-00564","Bihar","Patna","7.59","Industrial","Commercial","4","6","1","2","4.36","5.54","3","3","9.11","","13","3","6","7.43","2","13.56"
"SYN-LA-00565","","Patna","18.04","Industrial","Multi-crop","5","7","0","0","","5.02","5","4","8.44","Industrial corridor","9","4","9","11.32","1","13.88"
"SYN-LA-00566","Bihar","","10.28","Commercial","Residential","3","4","1","4","3.14","4.24","3","8","","Water management","10","1","8","13.7","1","18.04"
"SYN-LA-00567","Jharkhand","Dhanbad","23.97","Agricultural","Single-crop","2","3","0","0","5.86","7.97","5","7","11.62","Public utility","16","2","7","6.87","1","9.95"
"SYN-LA-00568","Jharkhand","Gaya","8.65","Industrial","Multi-crop","2","1","","1","4.12","","8","7","4.57","Public utility","12","1","","6.34","1","7.82"
"SYN-LA-00569","Uttar Pradesh","Saran","7.66","Forest buffer","Mixed use","3","5","","0","6.03","8.15","6","2","7.51","Water management","2","5","6","8.44","1","12.34"
"SYN-LA-00570","Bihar","Dhanbad","16.57","Residential","Residential","5","4","0","1","6.47","7.43","4","7","10.91","Rail","12","5","9","14.52","1","15.68"
"SYN-LA-00571","Jharkhand","Gaya","8.3","Residential","Multi-crop","5","6","0","0","5.57","6.43","","4","1.09","Industrial corridor","10","1","7","10","1","11.43"
"SYN-LA-00572","Uttar Pradesh","Vaishali","8.25","Agricultural","Commercial","1","3","1","0","6.93","8.61","2","4","","Rail","6","5","8","9.35","1","12.58"
"SYN-LA-00573","Jharkhand","Muzaffarpur","16.18","Forest buffer","","2","2","0","0","9.89","13.21","5","2","9.57","Water management","12","3","8","10.73","1","12.11"
"SYN-LA-00574","Jharkhand","Bhagalpur","21.92","Residential","Fallow","4","5","0","0","13.79","18.42","4","9","5.91","Water management","10","0","6","6.56","1","7.38"
"SYN-LA-00575","Jharkhand","Bhojpur","0.97","Forest buffer","","8","8","1","4","0.39","0.47","6","6","4.09","Public utility","18","2","4","11.9","3","18.37"
"SYN-LA-00576","Uttar Pradesh","Patna","12.13","Agricultural","Mixed use","4","5","0","0","4.4","4.85","5","6","0.7","Road","14","3","7","9.56","1","11.54"
"","Uttar Pradesh","Muzaffarpur","4.24","Residential","Mixed use","1","3","1","2","1.75","2.21","3","9","8.02","Road","2","1","7","10.09","1","13.62"
"SYN-LA-00578","Uttar Pradesh","Patna","1.68","Commercial","Fallow","3","4","0","0","0.81","1.06","7","9","9.58","Public utility","15","3","6","6.61","1","7.44"
"SYN-LA-00579","Jharkhand","Patna","2.21","Industrial","Residential","8","9","1","3","0.52","0.57","6","9","6.2","Rail","","","5","12.43","3","19.52"
"SYN-LA-00580","Jharkhand","Saran","10.52","Agricultural","Multi-crop","2","2","1","0","","8.38","7","3","9.68","Water management","20","3","7","5.11","2","7"
"SYN-LA-00581","Bihar","Patna","16","Residential","Residential","6","6","0","0","4.24","4.58","5","8","3.96","Public utility","17","5","5","","1","13.7"
"SYN-LA-00582","Jharkhand","Dhanbad","1.46","Commercial","Fallow","5","5","1","0","1.23","1.44","2","3","1.86","Road","11","0","8","12.82","1","15.41"
"SYN-LA-00583","Jharkhand","Ranchi","16.28","Commercial","Mixed use","4","","0","0","8.87","10.74","6","5","11.57","Water management","14","0","7","11.03","1","12.51"
"SYN-LA-00584","Jharkhand","Dhanbad","15.15","Commercial","Mixed use","6","6","1","4","12.07","16.25","6","9","11.79","Public utility","15","5","6","14.01","3","20.49"
"SYN-LA-00585","Bihar","Nalanda","13","Commercial","Fallow","6","8","0","0","8.01","11.04","7","6","8","Road","6","2","5","","2","12.53"
"","Bihar","Nalanda","18.25","Commercial","Single-crop","1","2","0","0","15.68","18.86","7","8","9.97","Rail","9","0","5","10.57","1","11.09"
"SYN-LA-00587","Uttar Pradesh","Dhanbad","24.14","Commercial","Multi-crop","7","8","1","4","9.17","","5","","8.07","Road","6","2","3","16.61","3","25.04"
"SYN-LA-00588","Bihar","Gaya","6.5","Commercial","Single-crop","2","4","1","4","3.43","3.79","6","7","2.88","Water management","15","","9","13.82","2","19.45"
"SYN-LA-00589","","Purnia","7.72","","Mixed use","","1","0","0","2.71","2.77","5","9","3.88","Water management","16","4","9","5.19","0","6.77"
"SYN-LA-00590","Jharkhand","Nalanda","12.62","Industrial","","2","3","0","0","7.55","7.72","6","3","10.55","Water management","2","1","10","10.64","1","10.17"
"SYN-LA-00591","Bihar","Gaya","13.13","Industrial","Multi-crop","8","7","0","1","8.11","8.97","6","9","5.65","Water management","8","4","6","12.89","1","14.89"
"SYN-LA-00592","Bihar","Vaishali","10.76","Forest buffer","Residential","8","9","0","0","2.92","4.03","7","5","7.78","Rail","13","5","5","8.08","2","10.87"
"SYN-LA-00593","Jharkhand","Purnia","24.93","Forest buffer","Fallow","4","5","1","4","12.65","17.32","9","4","1.76","Water management","2","1","9","13.69","2","17.38"
"SYN-LA-00594","Bihar","Nalanda","8.66","Agricultural","Multi-crop","5","4","0","0","4.22","5.49","8","5","3.21","Rail","13","5","7","7.46","1","10.04"
"SYN-LA-00595","Jharkhand","Bhagalpur","18.44","Residential","Single-crop","5","5","0","0","8.08","10.4","8","5","","Road","6","2","8","8.18","1","10.77"
"SYN-LA-00596","","Muzaffarpur","24.22","Agricultural","Single-crop","8","","0","0","15.17","17.32","6","8","0.14","Road","","2","7","15.17","1","15.34"
"SYN-LA-00597","Bihar","Begusarai","6.48","Residential","Residential","5","6","0","1","4.55","6.25","4","3","11.58","Public utility","6","4","7","12.47","1","14.47"
"SYN-LA-00598","Uttar Pradesh","Purnia","2.08","Commercial","Commercial","8","10","0","0","0.9","1.16","3","3","4.48","Water management","20","4","","11.35","2","13.21"
"SYN-LA-00599","Bihar","Vaishali","16.75","Commercial","Mixed use","6","5","0","1","9.94","12.42","2","","2.69","Road","15","2","4","13.31","1","17.2"
"SYN-LA-00600","Uttar Pradesh","Dhanbad","16.74","","Residential","","3","0","0","11.75","","0","9","9.71","Road","19","5","10","11.07","1","12.27"
"SYN-LA-00601","Jharkhand","Nalanda","22.68","Commercial","Multi-crop","1","0","","0","15.58","16.24","5","6","10.47","Water management","13","3","","6.27","1","7.1"
"SYN-LA-00602","Uttar Pradesh","","8.11","Forest buffer","Single-crop","6","6","0","0","2.91","3.4","6","7","2.01","Industrial corridor","17","0","5","11.11","1","13.81"
"SYN-LA-00603","Jharkhand","Ranchi","1.8","Industrial","Mixed use","4","4","0","1","0.76","1.02","7","9","5.62","","18","2","7","7.08","1","8.29"
"SYN-LA-00604","Jharkhand","Bhojpur","10.26","Agricultural","Commercial","4","4","0","0","4.39","5.47","8","7","2.52","Public utility","8","1","9","10.52","1","10.23"
"SYN-LA-00605","Uttar Pradesh","Bhojpur","22.49","Agricultural","Fallow","4","3","1","2","","","6","5","4.71","Water management","19","3","8","10.16","2","13.23"
"SYN-LA-00606","Uttar Pradesh","Muzaffarpur","6.22","Residential","Mixed use","7","8","0","0","3.36","4.06","4","8","8.13","Water management","7","2","4","7.89","1","11.96"
"SYN-LA-00607","Uttar Pradesh","Vaishali","21.7","Agricultural","Single-crop","1","0","0","0","5.97","6.54","8","9","3.68","Industrial corridor","2","2","","8.48","0","10.16"
"SYN-LA-00608","Jharkhand","Dhanbad","16.41","Agricultural","Single-crop","8","9","0","0","7.21","8.76","8","8","10.4","Water management","20","2","3","12.23","2","14.5"
"SYN-LA-00609","Bihar","Bhagalpur","5.96","Residential","Fallow","6","5","0","1","3.29","3.42","6","4","1.94","Industrial corridor","7","2","5","10.19","1","12.79"
"SYN-LA-00610","Bihar","Vaishali","4.12","Commercial","Mixed use","1","3","1","1","1.24","1.38","2","6","6.44","Road","17","1","8","6.17","1","10.33"
"SYN-LA-00611","Uttar Pradesh","Dhanbad","11.87","Agricultural","Single-crop","5","7","0","0","9.85","12.68","2","3","3.05","Public utility","10","1","6","8.65","1","10.52"
"SYN-LA-00612","Jharkhand","Gaya","10.4","Residential","Commercial","7","7","1","3","2.99","3.29","2","6","5.3","Rail","4","6","5","13.1","2","21.76"
"SYN-LA-00613","Jharkhand","Bhagalpur","8.54","Industrial","Mixed use","6","8","0","0","5.17","5.95","7","4","0.47","Rail","14","0","8","6.43","1","7.12"
"SYN-LA-00614","Jharkhand","Begusarai","14.46","Commercial","Residential","6","6","0","0","12.04","13.25","4","10","8.67","","","4","6","11.21","1","13.49"
"SYN-LA-00615","Jharkhand","Nalanda","13.85","Agricultural","Multi-crop","8","8","0","0","12.02","14.36","6","6","6.81","Industrial corridor","12","5","6","12.93","2","14.54"
"SYN-LA-00616","Jharkhand","Nalanda","3.92","Forest buffer","Multi-crop","5","6","0","0","3.18","4.41","9","6","0.78","Rail","4","3","9","13.29","1","14.74"
"SYN-LA-00617","Uttar Pradesh","Dhanbad","18.39","Forest buffer","Multi-crop","","1","1","4","9.84","11.72","4","","9.11","Water management","15","0","7","10.55","1","14.66"
"SYN-LA-00618","Bihar","Vaishali","9.41","Commercial","Mixed use","8","7","1","1","4.97","5.19","2","5","9.49","Water management","","5","7","13.89","3","19.9"
"SYN-LA-00619","Uttar Pradesh","","21.13","Agricultural","","8","8","0","0","15.19","18.42","3","6","7.89","Public utility","20","0","7","12.39","1","12.67"
"SYN-LA-00620","Jharkhand","Patna","18.93","Forest buffer","Residential","5","6","0","0","11.05","12.47","5","2","2.22","Industrial corridor","3","5","9","13.66","1","16.47"
"SYN-LA-00621","Jharkhand","Muzaffarpur","2.61","Commercial","Multi-crop","8","8","0","0","1.37","1.61","0","7","6.51","Public utility","8","0","7","9.8","1","11.55"
"SYN-LA-00622","Bihar","Dhanbad","21.66","Agricultural","Residential","1","2","1","2","18.39","19.46","6","4","","Water management","13","2","","7.75","1","12.97"
"SYN-LA-00623","Bihar","Saran","5.97","Agricultural","Fallow","2","1","","0","3.88","4.42","2","4","8.81","Water management","3","2","10","7.17","0","6.68"
"SYN-LA-00624","","Bhagalpur","12.84","Commercial","Single-crop","6","8","0","","3.58","4.59","3","10","6.03","Public utility","4","4","4","14.08","1","16.58"
"SYN-LA-00625","Bihar","Saran","6.54","","Residential","","2","0","0","1.28","1.38","8","10","3.37","Public utility","16","4","6","6.52","1","10.03"
"SYN-LA-00626","Jharkhand","Ranchi","9.2","Industrial","Multi-crop","1","1","1","1","2.48","2.59","4","8","","Public utility","15","1","6","9.33","1","13.52"
"SYN-LA-00627","Uttar Pradesh","Ranchi","9.52","Agricultural","Mixed use","6","","0","0","4.06","4.79","6","7","11.43","Water management","11","3","6","7.11","1","8.88"
"SYN-LA-00628","Jharkhand","Bhagalpur","5.01","Commercial","Single-crop","7","7","0","1","1.82","2.28","1","10","11.48","Public utility","4","1","7","13.94","1","15.61"
"","Bihar","Purnia","5.74","Commercial","Fallow","8","8","1","0","4.42","4.77","5","9","2.56","Public utility","18","","5","14.39","2","17.04"
"SYN-LA-00630","Jharkhand","Saran","3.43","Commercial","","6","5","0","0","0.86","1.16","","9","8.82","","16","4","4","11.16","2","14.07"
"SYN-LA-00631","Jharkhand","Nalanda","14.37","Residential","Fallow","5","6","0","0","11.99","12.48","4","6","7","Public utility","6","","7","6.37","1","6.8"
"SYN-LA-00632","Bihar","Bhojpur","7.06","Commercial","Commercial","2","2","0","","4.95","6.26","","9","11.42","Industrial corridor","15","2","8","12.8","1","14.51"
"SYN-LA-00633","Bihar","Begusarai","19.25","Residential","Residential","6","","0","0","10.6","13.62","8","6","2.52","Road","9","7","5","13.95","2","18.46"
"SYN-LA-00634","Uttar Pradesh","Muzaffarpur","24.92","Commercial","Fallow","7","6","0","0","11.77","12.26","3","5","","Industrial corridor","20","3","5","12.29","2","14.66"
"SYN-LA-00635","Bihar","Bhagalpur","2.28","Industrial","Mixed use","","7","0","0","1","1.32","7","7","11.41","Water management","15","5","4","8.47","2","12.64"
"SYN-LA-00636","Jharkhand","Bhagalpur","19.15","Agricultural","Commercial","2","1","0","0","7.56","9.08","7","","3.47","Rail","3","5","6","4.83","1","8.66"
"SYN-LA-00637","Bihar","Purnia","6.7","Forest buffer","Multi-crop","4","4","0","0","3.69","","6","8","","Public utility","","2","5","8.58","1","10.77"
"SYN-LA-00638","","Bhagalpur","7.85","Forest buffer","Multi-crop","8","8","0","0","4.55","5.14","7","7","4.79","Water management","6","1","7","10.92","1","11.14"
"SYN-LA-00639","Uttar Pradesh","Nalanda","24.86","Commercial","Mixed use","3","3","0","1","15.66","19.45","","6","2.2","Rail","8","4","9","12.55","1","15.96"
"SYN-LA-00640","Jharkhand","Bhojpur","","Industrial","Single-crop","3","","1","3","11.54","14.36","0","8","5.97","Public utility","17","1","5","","2","20.25"
"SYN-LA-00641","Jharkhand","Bhagalpur","21.25","Residential","Commercial","1","1","0","0","17.93","","1","5","5.62","Rail","4","7","9","5.27","0","7.14"
"SYN-LA-00642","Bihar","Dhanbad","4.12","Residential","Commercial","","","0","0","3.15","3.27","7","7","7.89","Water management","3","1","6","10.64","1","11.12"
"SYN-LA-00643","Jharkhand","Bhojpur","24.65","Residential","Commercial","8","10","0","1","16.69","21.99","1","8","0.2","Rail","2","7","4","9.47","2","14.55"
"SYN-LA-00644","Uttar Pradesh","Ranchi","16.87","Forest buffer","Single-crop","3","4","0","0","14.3","17.13","6","1","6.29","Public utility","3","","10","7.75","1","6.96"
"SYN-LA-00645","Uttar Pradesh","Nalanda","8.1","Commercial","Mixed use","2","2","0","0","4.91","","2","4","5.24","Rail","13","2","6","11.26","1","13.05"
"SYN-LA-00646","Uttar Pradesh","Ranchi","24.88","Industrial","Fallow","8","9","1","0","14.29","16.75","2","3","5.95","Public utility","15","1","7","10.7","2","14.14"
"SYN-LA-00647","Jharkhand","","20.82","Industrial","","3","4","0","0","8.14","11.11","7","","2.24","Rail","14","4","10","11.61","1","12.99"
"SYN-LA-00648","Jharkhand","Bhagalpur","19.17","Commercial","Residential","5","","0","0","16.55","21.26","8","9","11.77","Rail","11","5","8","7.84","1","10.73"
"SYN-LA-00649","Uttar Pradesh","Vaishali","22.89","Agricultural","Commercial","8","10","0","0","","6.45","6","10","6.45","Rail","14","2","4","12.31","2","15.3"
"SYN-LA-00650","Bihar","Begusarai","20.27","Industrial","Fallow","6","6","0","0","9.95","12.11","3","5","6.33","Public utility","17","4","4","8.97","1","11.45"
"SYN-LA-00651","","Patna","21.75","Forest buffer","Commercial","2","2","1","0","18.87","21.42","3","8","","Rail","17","6","6","4.8","1","7.98"
"SYN-LA-00652","Jharkhand","Gaya","4.49","Residential","Mixed use","8","9","0","0","2.64","3.17","3","8","4.93","Public utility","4","3","8","14.76","1","16.21"
"SYN-LA-00653","Bihar","Gaya","5.66","Commercial","Residential","7","7","1","4","1.3","","3","8","1.15","Water management","15","4","6","16.62","2","22.33"
"SYN-LA-00654","Bihar","Patna","20.64","Residential","Residential","4","4","1","2","9.76","10.96","3","8","8.33","","19","1","9","14.15","1","18.75"
"SYN-LA-00655","Bihar","Muzaffarpur","24.81","Residential","Multi-crop","8","8","0","0","6.47","9.02","3","4","2.35","Water management","13","5","4","7.42","1","10.58"
"SYN-LA-00656","Uttar Pradesh","Gaya","23.79","Industrial","Multi-crop","1","0","0","1","9.04","10.09","0","3","3.13","Industrial corridor","7","4","7","11.58","1","13.92"
"SYN-LA-00657","Uttar Pradesh","Patna","17.84","Industrial","Multi-crop","4","4","1","1","7.86","8.29","2","8","1.82","Industrial corridor","14","3","7","13.14","1","18.57"
"SYN-LA-00658","Bihar","Dhanbad","8.38","Forest buffer","Commercial","3","3","0","0","2.63","2.85","6","","7.18","Industrial corridor","4","2","8","12.33","1","15.03"
"SYN-LA-00659","Bihar","","9.86","Industrial","Mixed use","3","4","0","0","6.01","","1","9","1.62","Water management","2","5","6","6.1","0","10.32"
"","Uttar Pradesh","Begusarai","23.16","Commercial","Multi-crop","7","8","","0","4.5","5.62","3","10","6.36","Water management","17","2","7","12.55","1","14.98"
"SYN-LA-00661","Bihar","Gaya","17.36","Industrial","Mixed use","3","5","0","0","10.84","14.37","1","6","","Road","18","1","8","7.81","1","8.41"
"SYN-LA-00662","Uttar Pradesh","Nalanda","15.52","Industrial","Commercial","2","4","0","0","8.91","10.09","","4","5.44","Industrial corridor","10","1","8","10.96","1","11.31"
"SYN-LA-00663","Bihar","Begusarai","8.66","Agricultural","Residential","6","","0","0","5.31","7.2","3","7","2.23","Road","16","4","8","9.99","1","11.97"
"SYN-LA-00664","Bihar","Begusarai","15.63","Forest buffer","Residential","3","5","0","0","7.59","9.03","3","5","3.43","Road","2","7","9","9.53","1","13.48"
"SYN-LA-00665","Uttar Pradesh","Purnia","19","Forest buffer","Multi-crop","5","7","1","","16.65","21.57","5","4","6.58","Industrial corridor","8","0","7","12.74","2","16.84"
"SYN-LA-00666","","Ranchi","","Forest buffer","Single-crop","8","10","0","1","","0.88","3","5","11.64","Public utility","17","4","5","8.61","2","11.52"
"SYN-LA-00667","Jharkhand","Muzaffarpur","23.55","Forest buffer","Mixed use","6","8","0","0","12.65","13.21","3","8","8.71","Public utility","4","2","6","7.75","1","9.78"
"SYN-LA-00668","Bihar","Dhanbad","19.34","Commercial","Multi-crop","4","5","0","0","5.56","6.28","6","7","6.16","Water management","5","1","9","11.9","1","12.57"
"SYN-LA-00669","Jharkhand","Bhagalpur","17.32","Residential","Single-crop","8","9","0","0","","11.05","7","3","7.44","Water management","7","3","5","10.27","2","13.45"
"SYN-LA-00670","Jharkhand","Vaishali","12.59","Commercial","Commercial","3","5","0","0","4.63","4.86","1","6","9.24","Public utility","8","2","6","9.06","1","11.15"
"SYN-LA-00671","Jharkhand","Vaishali","10.7","Residential","Residential","2","3","1","1","8.39","9.31","5","3","11.86","Public utility","17","4","6","10.25","2","15.54"
"SYN-LA-00672","","Nalanda","6.07","Agricultural","Mixed use","8","9","0","1","4.45","4.84","2","6","11.75","Road","11","1","5","14.37","2","18.58"
"SYN-LA-00673","Uttar Pradesh","Bhagalpur","23.44","Agricultural","Single-crop","6","6","1","2","20.43","24.44","2","","3.4","Industrial corridor","17","0","7","12.77","2","15.59"
"SYN-LA-00674","Uttar Pradesh","Muzaffarpur","15.68","Agricultural","","6","8","1","2","11.12","13.79","3","8","1.71","Water management","15","2","5","12.11","2","16.41"
"SYN-LA-00675","Jharkhand","Vaishali","3.79","Commercial","Fallow","4","5","0","0","1.41","1.76","1","3","11.22","Road","7","1","8","5.25","1","5.38"
"SYN-LA-00676","","Ranchi","13.31","Industrial","Single-crop","1","","0","0","10.48","12.1","7","3","1.1","Road","7","2","8","11.53","1","12.56"
"SYN-LA-00677","Bihar","Vaishali","16.39","Commercial","Commercial","2","1","0","0","12.09","16.75","1","10","7.91","Water management","11","1","6","11.86","0","13.93"
"SYN-LA-00678","Bihar","Saran","18.24","Industrial","Mixed use","4","4","0","0","6.13","8.3","1","5","2.8","Rail","15","3","7","12.96","1","15.41"
"SYN-LA-00679","","Bhagalpur","24.67","Residential","Fallow","2","3","1","2","7.34","7.54","6","9","10.12","Rail","20","3","10","11.93","2","16.79"
"SYN-LA-00680","Bihar","Ranchi","22.22","Agricultural","Multi-crop","4","6","0","0","","25.07","2","4","11.21","Industrial corridor","9","4","7","6.99","1","9.05"
"SYN-LA-00681","Bihar","Dhanbad","2.96","Agricultural","Fallow","7","8","0","1","2.01","2.25","6","7","7.27","Water management","4","3","4","9.59","1","14.2"
