"record_id","state","district","project_type","land_area_ha","number_of_owners","ownership_complexity","previous_dispute","previous_objections","land_type","land_value_cr","environmental_risk","road_accessibility","distance_to_road_km","stakeholder_count","compensation_exposure_cr","land_use_conflict","documentation_completeness","acquisition_risk","risk_score","source_label"
"SYN-0181","Bihar","Vaishali","Public utility","3.98","2","2","0","0","Industrial","2.02","2","7","5.86","6","2.08","0","8","0","24","synthetic_demo"
"SYN-0182","Bihar","Muzaffarpur","Public utility","7.37","4","6","0","0","Commercial","3.87","3","10","3.16","11","4.85","2","10","1","47","synthetic_demo"
"SYN-0183","Bihar","Patna","Public utility","3.57","3","3","0","1","Commercial","2.06","4","4","2.13","4","1.92","2","9","2","61","synthetic_demo"
"SYN-0184","Bihar","Gaya","Public utility","2.64","3","3","0","0","Forest buffer","0.70","9","7","1.97","8","0.75","3","7","3","81","synthetic_demo"
"SYN-0185","Bihar","Nalanda","Rail","10.66","5","5","0","0","Industrial","4.38","5","7","6.15","6","4.64","3","7","0","30","synthetic_demo"
"SYN-0186","Bihar","Saran","Public utility","5.41","4","6","0","0","Residential","1.45","5","6","6.80","4","1.35","1","7","1","56","synthetic_demo"
"SYN-0187","Bihar","Bhagalpur","Water management","8.34","7","7","0","0","Forest buffer","2.92","6","7","7.60","12","3.15","1","6","2","79","synthetic_demo"
"SYN-0188","Bihar","Bhojpur","Road","13.61","4","3","1","1","Agricultural","7.56","1","4","5.63","3","8.34","1","6","3","81","synthetic_demo"
"SYN-0189","Bihar","Muzaffarpur","Public utility","12.38","5","5","1","3","Residential","4.71","4","6","1.85","14","4.91","3","6","0","30","synthetic_demo"
"SYN-0190","Bihar","Muzaffarpur","Public utility","3.61","3","5","0","1","Industrial","1.20","7","6","0.76","2","1.32","2","7","1","56","synthetic_demo"
"SYN-0191","Bihar","Patna","Road","11.47","7","8","1","4","Residential","2.89","3","10","6.92","11","3.55","5","7","2","80","synthetic_demo"
"SYN-0192","Bihar","Nalanda","Industrial corridor","5.18","5","5","0","0","Agricultural","1.55","8","10","6.62","4","1.51","5","6","3","85","synthetic_demo"
"SYN-0193","Bihar","Muzaffarpur","Rail","2.08","4","6","1","4","Commercial","0.57","0","4","2.23","10","0.74","4","7","0","30","synthetic_demo"
"SYN-0194","Bihar","Muzaffarpur","Rail","6.67","5","4","1","4","Forest buffer","2.94","4","5","5.67","11","2.82","4","7","1","60","synthetic_demo"
"SYN-0195","Bihar","Vaishali","Road","6.01","2","4","0","0","Industrial","1.69","1","9","2.55","3","1.86","6","7","2","61","synthetic_demo"
"SYN-0196","Bihar","Muzaffarpur","Water management","9.09","3","5","0","0","Forest buffer","4.08","5","3","2.91","7","4.01","3","10","3","81","synthetic_demo"
"SYN-0197","Bihar","Saran","Public utility","13.55","7","7","0","0","Agricultural","8.11","2","8","7.24","4","9.95","3","7","0","30","synthetic_demo"
"SYN-0198","Bihar","Nalanda","Industrial corridor","13.41","3","2","0","1","Residential","5.17","8","6","1.62","2","6.14","2","10","1","46","synthetic_demo"
"SYN-0199","Bihar","Nalanda","Industrial corridor","2.45","1","1","0","1","Residential","1.28","0","4","3.13","13","1.26","5","6","2","67","synthetic_demo"
"SYN-0200","Bihar","Patna","Water management","9.86","2","4","1","0","Residential","4.24","4","7","5.82","2","5.64","0","6","3","81","synthetic_demo"
"SYN-0201","Bihar","Bhojpur","Public utility","7.66","5","4","0","0","Agricultural","3.99","5","9","6.55","14","5.29","1","8","0","30","synthetic_demo"
"SYN-0202","Bihar","Gaya","Industrial corridor","3.21","2","2","0","0","Agricultural","1.50","8","4","0.87","9","1.83","3","8","1","52","synthetic_demo"
"SYN-0203","Bihar","Gaya","Road","1.76","5","7","0","1","Forest buffer","0.91","7","3","7.25","5","0.96","3","7","2","80","synthetic_demo"
"SYN-0204","Bihar","Muzaffarpur","Water management","8.52","3","3","0","0","Commercial","3.32","2","9","5.73","3","4.02","2","9","3","81","synthetic_demo"
"SYN-0205","Bihar","Vaishali","Water management","2.53","7","7","1","2","Residential","0.71","6","9","6.36","14","0.66","1","7","0","30","synthetic_demo"
"SYN-0206","Bihar","Bhojpur","Industrial corridor","6.42","5","6","0","0","Commercial","3.65","5","3","4.18","11","4.38","0","4","1","60","synthetic_demo"
"SYN-0207","Bihar","Gaya","Water management","7.61","5","6","1","3","Residential","3.25","5","6","7.06","5","4.12","3","5","2","80","synthetic_demo"
"SYN-0208","Bihar","Vaishali","Industrial corridor","3.74","2","1","1","3","Residential","2.27","2","4","0.73","14","2.83","2","7","3","83","synthetic_demo"
"SYN-0209","Bihar","Patna","Water management","12.64","1","2","0","0","Agricultural","7.05","2","5","6.02","6","9.37","0","9","0","24","synthetic_demo"
"SYN-0210","Bihar","Saran","Rail","2.78","5","6","0","1","Residential","1.25","6","4","4.31","13","1.55","0","4","1","60","synthetic_demo"
"SYN-0211","Bihar","Saran","Water management","13.80","1","3","0","0","Commercial","3.94","1","7","4.12","2","3.96","0","9","2","61","synthetic_demo"
"SYN-0212","Bihar","Patna","Public utility","5.93","3","5","0","1","Commercial","1.64","3","4","2.42","6","1.82","4","5","3","84","synthetic_demo"
"SYN-0213","Bihar","Gaya","Rail","1.36","5","6","0","0","Industrial","0.38","6","9","2.46","6","0.47","4","7","0","30","synthetic_demo"
"SYN-0214","Bihar","Nalanda","Industrial corridor","6.23","5","7","0","1","Commercial","3.30","4","5","5.69","9","3.51","3","6","1","60","synthetic_demo"
"SYN-0215","Bihar","Bhojpur","Industrial corridor","5.27","5","7","0","1","Industrial","1.37","2","8","6.31","6","1.27","4","4","2","79","synthetic_demo"
"SYN-0216","Bihar","Bhojpur","Road","7.20","1","2","0","0","Residential","3.45","5","6","3.10","2","3.20","2","10","3","81","synthetic_demo"
"SYN-0217","Bihar","Vaishali","Rail","13.67","2","1","0","0","Forest buffer","3.96","5","2","6.75","7","4.09","3","6","0","30","synthetic_demo"
"SYN-0218","Bihar","Bhojpur","Rail","3.39","2","3","0","0","Forest buffer","1.97","6","4","5.50","14","2.50","4","7","1","60","synthetic_demo"
"SYN-0219","Bihar","Gaya","Water management","11.14","4","3","1","4","Commercial","5.63","4","10","5.59","2","6.48","3","9","2","76","synthetic_demo"
"SYN-0220","Bihar","Gaya","Rail","9.85","5","5","0","0","Forest buffer","5.93","9","4","5.86","12","7.99","3","6","3","93","synthetic_demo"
"SYN-0221","Bihar","Muzaffarpur","Rail","2.30","7","8","0","0","Forest buffer","0.72","5","5","2.67","8","0.75","0","5","0","30","synthetic_demo"
"SYN-0222","Bihar","Nalanda","Water management","1.52","5","7","0","1","Residential","0.54","4","9","6.55","13","0.58","1","8","1","57","synthetic_demo"
"SYN-0223","Bihar","Nalanda","Road","4.95","7","9","0","0","Residential","2.79","5","7","7.09","14","3.51","3","8","2","78","synthetic_demo"
"SYN-0224","Bihar","Muzaffarpur","Public utility","10.73","5","5","0","0","Residential","4.69","2","6","0.67","11","6.30","4","4","3","84","synthetic_demo"
"SYN-0225","Bihar","Gaya","Road","13.21","4","6","0","0","Residential","7.88","2","6","3.33","3","7.34","1","10","0","29","synthetic_demo"
"SYN-0226","Bihar","Saran","Industrial corridor","6.99","3","4","0","0","Residential","2.51","2","7","7.11","9","2.88","5","6","1","55","synthetic_demo"
"SYN-0227","Bihar","Vaishali","Public utility","10.45","7","10","1","4","Residential","5.70","7","10","7.86","4","7.41","2","4","2","80","synthetic_demo"
"SYN-0228","Bihar","Vaishali","Public utility","5.72","3","5","1","3","Agricultural","3.03","1","8","3.19","12","3.32","1","6","3","90","synthetic_demo"
"SYN-0229","Bihar","Gaya","Rail","13.40","5","5","0","0","Forest buffer","7.97","4","7","2.85","2","9.92","5","8","0","30","synthetic_demo"
"SYN-0230","Bihar","Bhojpur","Industrial corridor","10.89","7","8","1","2","Industrial","5.42","5","4","6.94","2","6.42","4","6","1","60","synthetic_demo"
"SYN-0231","Bihar","Muzaffarpur","Road","3.42","1","1","0","1","Commercial","1.36","1","8","3.50","6","1.64","5","6","2","61","synthetic_demo"
"SYN-0232","Bihar","Saran","Road","1.33","2","3","0","1","Forest buffer","0.58","7","2","0.60","8","0.55","4","10","3","81","synthetic_demo"
"SYN-0233","Bihar","Muzaffarpur","Road","13.94","6","6","0","0","Residential","6.82","7","8","2.75","6","9.09","4","8","0","30","synthetic_demo"
"SYN-0234","Bihar","Gaya","Road","7.44","1","3","0","1","Industrial","2.54","1","7","5.95","6","3.29","7","8","1","55","synthetic_demo"
"SYN-0235","Bihar","Nalanda","Water management","6.36","4","4","0","0","Forest buffer","3.66","5","5","6.93","8","4.48","1","6","2","74","synthetic_demo"
"SYN-0236","Bihar","Nalanda","Road","7.91","6","8","0","1","Commercial","3.28","2","7","7.04","9","3.77","4","6","3","87","synthetic_demo"
"SYN-0237","Bihar","Vaishali","Rail","1.76","2","3","0","0","Agricultural","0.79","5","9","3.66","5","0.96","3","9","0","30","synthetic_demo"
"SYN-0238","Bihar","Gaya","Industrial corridor","6.85","5","5","1","4","Commercial","4.05","8","9","3.39","12","4.57","4","6","1","60","synthetic_demo"
"SYN-0239","Bihar","Bhojpur","Industrial corridor","4.63","4","5","0","0","Commercial","1.96","1","7","1.38","10","2.24","1","6","2","61","synthetic_demo"
"SYN-0240","Bihar","Patna","Public utility","1.72","2","2","0","0","Forest buffer","0.50","3","2","2.60","12","0.50","1","5","3","81","synthetic_demo"
